EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
566822,해운대 모래축제,20230519,20230522,129.1604273,35.15903825,부산광역시 해운대구 우동,A02070200,103
563458,함양 산삼축제,20220902,20220911,127.7218713,35.52372396,경상남도 함양군 함양읍 필봉산길 49,A02070200,227
561027,인천펜타포트 락 페스티벌,20230804,20230806,126.6324848,37.4078332,인천광역시 연수구 센트럴로 350,A02070100,67
557467,진주 논개제,20230506,20230508,128.0802486,35.19043456,경상남도 진주시 남강로 626,A02070200,220
557329,단양 소백산 철쭉제,20220602,20220605,128.371223,36.98494978,충청북도 단양군 단양읍 별곡리,A02070200,160
553411,장성 황룡강 홍길동무 꽃길 축제,20230519,20230521,126.7815184,35.30955141,전라남도 장성군 황룡강동쪽자전거길 732 황미르교 가설점포,A02070200,259
553315,여수 거북선축제,20230504,20230507,127.7465197,34.75222511,전라남도 여수시 박람회길 1 국제관,A02070200,255
553299,보성다향대축제,20230429,20230507,127.0817371,34.71987571,전라남도 보성군 보성읍 녹차로 775,A02070100,252
553089,성주생명문화축제,20220805,20220814,128.2793949,35.91558403,경상북도 성주군 성주읍 성밖숲길 30,A02070200,195
552022,여주도자기축제,20230519,20230529,127.6545006,37.30018072,경기도 여주시 신륵사길 7 여주세계생활도자관,A02070200,129
538458,울산쇠부리축제,20230512,20230514,129.3294494,35.63364925,울산광역시 북구 달천철장길 58,A02070100,107
534220,연천 구석기축제,20230504,20230507,127.0611507,38.01228159,경기도 연천군 전곡읍 양연로 1510,A02070100,130
531460,연등회,20230519,20230521,126.9815039,37.57330351,서울특별시 종로구 우정국로 55,A02070200,57
531391,강릉단오제,20230618,20230625,128.895017,37.7482135,강원도 강릉시 단오장길 1,A02070200,141
531318,전주국제영화제,20230427,20230506,127.140604,35.82011628,전라북도 전주시 완산구 전주객사2길 74 성실엔지니어링,A02081100,240
531238,24회 서울국제여성영화제,20220825,20220901,126.9044307,37.56202011,서울특별시 마포구 월드컵로 161,A02081100,47
530450,고양행주문화제,20230519,20230521,126.8246035,37.60048088,경기도 고양시 덕양구 행주로15번길 89,A02070200,111
527789,낙안읍성 민속문화축제,20221021,20221023,127.3417763,34.90638696,전라남도 순천시 낙안면 충민길 30,A02070200,253
527710,이천도자기축제,20230426,20230507,127.3857029,37.29314885,경기도 이천시 신둔면 도자예술로5번길 109,A02070200,135
527620,영덕대게축제,20230224,20230226,129.3857294,36.34854451,경상북도 영덕군 강구면 삼사리,A02070100,197
527505,한라산 청정 고사리축제,20230429,20230430,126.6773498,33.33008489,제주특별자치도 서귀포시 서성로 788,A02070200,267
527212,인천대공원 벚꽃축제,20230408,20230409,126.7614105,37.45706032,인천광역시 남동구 장수동,A02070200,63
526696,여수 영취산 진달래축제,20230401,20230402,127.6930421,34.82271351,전라남도 여수시 중흥동,A02070200,255
